sentence_id	essay_id	sentence_txt	idx_in_essay
29	2981	The library is a place for study	9
30	2981	It is never intended to offend someone, or bring bad to the world	10
31	2981	It is simply a place to inform, and if someone is offended by what they see, they should stay away from the library	11
32	2981	I have been to the library many times, none of which have I ever seen anything offensive	12
33	2981	Everything I have ever witnessed at the library is for learning and research	13
34	2981	There are certain sections in the library	14
35	2981	If a parent does not want their child seeing something, they should keep their child in the children's section	15
36	2981	I can assure you, there is nothing offensive in the children's section, or else the library would not have it in that section	16
37	2981	The owners of these libraries know what is going to upset people and what will not	17
38	2981	If there was truly offensive materials in the library, those materials would be taken out	18
39	2981	Also, if a person complains, and the materials are removed, it could lessen someone else's chance getting the materials they need	19
40	2981	One person could think the material is offensive, but someone else might want to learn more about it	20
41	2981	If one is offended by a certain material, all they simply must do, is not look at it	21
42	2981	The library can be compared to a big computer	22
43	2981	One can basically find anything there	23
44	2981	Asking the library to censor their materials is like asking the internet to censor theirs	24
45	2981	It is a way of learning and researching and it would be almost impossible to censor everything there	25
46	2981	Everyone is going to be offended some point in their life	26
47	2981	If the libraries removed everything that could offend someone, they would have no materials left	27
48	2981	People need to stop being so easily offended and realize the library is not trying to harm anyone	28
49	2981	There does not need to be any censorship in libraries	29
50	2981	It is simply trying to teach people about the world and let them enjoy books, music, movies, or whatever else one might go to the library to find.	30
51	2982	In life you have the 'offensive things'	0
52	2982	The little stuff that gets under our skin and eats away at us	1
53	2982	No it is not easy to get over ,but these things will make you stronger	2
54	2982	Sometimes there are books, magazines, music and movies  that offened us	3
55	2982	The only reason why we get offensive is because the subject either reflects our personality, or our life	4
56	2982	It's not the authors fault, they write what they feel and what is the truth	5
57	2982	Okay, so libraris are full of book's, movies, music, etc	6
58	2982	You can't just take books off the shelves, just because they offened you	7
59	2982	Other people @MONTH1 like the book you hate	8
60	2982	There are more books in the library you can read	9
61	2982	Another reason people shouldn't remove offensive material out of the library	10
62	2982	it will hurt whoevers' company got the book published and also the writters	11
63	2982	Writters and publishers would lose so much money because the library sells' there books,magazines, movies	12
64	2982	They make thousands of copies of thier product, which takes money	13
65	2982	So to make thier money back ,they sell to thousands of book stores	14
66	2982	Must of the offensive material will open the worlds eye's	15
67	2982	Everybody needs to see whats going on in the world	16
68	2982	Books, newspapers tell the truth about a subject	17
69	2982	Now the writters intent is'nt to hurt you but to help you	18
70	2982	Why cant the world be more open	19
71	2982	I know in my own life i have read books that at first ,the book offended me	20
72	2982	I would get so mad, i would put the book down and walk away	21
73	2982	But then,my eyes would open and finaly it hit me	22
74	2982	The offensive part out of the book helped myself relives a new understanding	23
75	2982	The views i used to have would be gone	24
76	2982	It is strange how you finnaly open up, and your life changes	25
77	2982	Some people might even find this paper offensive	26
78	2982	But if nobody is stepping on your toes, and getting under your skin you wont ever change	27
79	2982	Offened is a word used lightly	28
80	2982	yes, people use it a lot but do they really mean it	29
81	2982	Some people need to use 'well this book bugs me'	30
82	2982	Stop being about yourselves and get over it	31
83	2982	Life is to short to worry and feel offended	32
84	2982	Every single book, magazine,movie and music needs to be left alone	33
85	2982	Those materials @MONTH1 reflect other peoples life and help others with thiers'	34
86	2982	Just read another book, or watch a different move	35
87	2982	Please do not remove anything from the selves, because it will only do more damage	36
88	2983	A lot of @CAPS3 today are censored because of the content in books, music, movies, and Magazines	0
89	2983	I think that it all can be fixed if you have certain sections, @CAPS1 @CAPS2, and my views on the censorship of @CAPS3	1
90	2983	Here's my idea to fix the problem	2
91	2983	I understand that books and other material @MONTH1 offend certain people, but it might not offend others	3
92	2983	Thats why I think @CAPS3 should have a room for things that might offend certain people	4
93	2983	The sign should say what content it has so the people can stay away from the room	5
94	2983	There could be seperate rooms for children	6
95	2983	It has nothing but children's books, movies, music, and magazines	7
96	2983	Its a great idea because your child would'nt be open to the bad content	8
97	2983	This brings me to my next topic	9
98	2983	You must be a certain @CAPS1 to enter the 'bad content' room	10
99	2983	I dont think the library staff or their parents want a five-year old boy checking out a book that deals with sex, drugs, and alcohol	11
100	2983	The library could get in a lot of trouble	12
101	2983	The @CAPS1 @CAPS2 could be @NUM1 years of @CAPS1 to enter the room	13
102	2983	That seems fair enough	14
103	2983	Your old enough to be able to handle the content	15
104	2983	I dont get offended easily, so I can read just about anything	16
105	2983	Like I suggested previously in the article, the bad content should be moved to a room so that people dont mistakenly come across it	17
106	2983	I like reading about anything and everything, so I would love to read things and spark my attention	18
107	2983	Books like that usually deal with bad things	19
108	2983	I'm okay with that, but I understand that others are not	20
109	2983	Seperate rooms, @CAPS1 limits, and my views are all good ideas	21
110	2983	Maybe a library will come across my article and do what I have said	22
111	2983	I think that will be very affective	23
112	2983	I hope to start seeing that in the future	24
113	2984	How @CAPS4 you feel if your favorite book was taken off the shelves of your school or public library	0
114	2984	I, along with many other students, @CAPS4 find this discouraging and distastrous, so I do not believe that censorship should affect books that are on the shelves	1
115	2984	Otherwise, a demolished love of reading, crushed individuality, and separated population @MONTH1 be born	2
116	2984	Like the beloved @PERSON2 @PERSON2 series by @PERSON1, many books and series are being taken out of libraries' collections due to people in society finding them offensive	3
117	2984	In this case, the world of witchcraft in which this story blooms is against some religious beliefs	4
118	2984	therefore, some individuals within a religion campaign to have these books banned	5
119	2984	Fortunately, none of the libraries I visit, with their eclectic collections, had banned this series, or I @CAPS4 not have the strong thirst for literature as I do now	6
120	2984	All books have the potential to pull a student into the wonderful world of reading, like @PERSON2 did for me, so taking away books that are most likely to spark an interest or start a firework of creativity @CAPS4 not only affect this generation, but the futures of all	7
121	2984	If this censorhip was to be allowed, who is to say what all  could be censored	8
122	2984	Who @CAPS4 be the final judge as to what books @CAPS4 be banned	9
123	2984	It @CAPS4 all come down to power and who was willing enough to take it	10
124	2984	This struggle to be on top has the possibility of seperating people apart like political parties	11
125	2984	Disagreements could turn into debates, and those could turn into fights	12
126	2984	It can be concluded that people are stubborn for their beliefs, and to have someone choose what everyone is allowed to believe @CAPS4  be wrong	13
127	2984	For instance, it @CAPS4 be like an @CAPS1 forcing a @CAPS2 to not believe in @CAPS3	14
128	2984	a vegetarian commanding that meat can no longer be eaten	15
129	2984	a woman taking away men's voting rights	16
130	2984	Censorship @CAPS4 lead to the disrespect of other's opinions, and disrespect is never a beneficial thing	17
131	2984	Each and every person has a different opinion on what is offensive or not, so to censor books @CAPS4 be to censor all individual mentality	18
132	2984	Without each person's unique thoughts and beliefs, the world @CAPS4 become similiarly vapid and dull	19
133	2984	Differences in beliefs is what adds variety to the population and what makes a person special	20
134	2984	additionally, free thought is a right all people should have	21
135	2984	If someone was to limit the mental, literary stimulants that are out in the world, the amount of creativity and individuality @CAPS4 decrease	22
136	2984	To conclude, censorship @CAPS4 be a disrespect to individuality, personal beliefs, and the overall joy of reading a good book	23
137	2984	Just because one might not believe in what a story says, it does not mean that the piece of literature should be forbidden	24
138	2984	No one is being forced to read the books that grace the hundreds of shelves in a library, so if someone is offended, simply do not read it	25
139	2984	So how @CAPS4 you feel if your favorite book was gone from all libraries	26
140	2984	Disrespected	27
141	2984	That is how I @CAPS4 feel	28
142	2986	The idea of the removal of 'offensive' material from libraries is understandable	0
143	2986	Some believe that this material is not appropriate for anyone to view	1
144	2986	However, because we all have different opinions on what is offensive, I believe that books found to be offensive should not be removed from the shelves of the library	2
145	2986	First, I believe that if this policy were to be in effect in libraries, there would not be many books left on the shelf	3
146	2986	Offensive is a relative word	4
147	2986	What @MONTH1 be offensive to one person @MONTH1 not be to another	5
148	2986	Every has a different opinion on different matters based on their beliefs and life experiences	6
149	2986	Many books have things people disagree with, but expressing this is a part of freedom of speech	7
150	2986	Therefore, if everyone complained that they found a certain book or movie to be offensive, there would hardly be anything left, as Katherine Paterson said	8
151	2986	The purpose of a library is to provide the people who go to the library a resource	9
152	2986	If the sources were censored in such a way, it would be hard to get information	10
153	2986	Sometimes, it is beneficial, even, to read an opposing view or side to have more knowledge on a certain topic and see things from a different perspective	11
154	2986	However, some books @MONTH1 not be entirely appropriate to certain people	12
155	2986	For example, some material in the library @MONTH1 not be best for small children to read or view	13
156	2986	In this case, I do not necessarily feel that they should be removed from the shelves rather than placed in an area these children do not have access to	14
157	2986	Having books, music, movies, or magazines removed from the shelves if they are found to be offensive is in my opinion, a ridiculous notion	15
158	2986	It hinders expression	16
159	2986	People have different opinions about what is offensive to them and it would be very boring if everyone thought the same	17
160	2986	If someone finds something particularly offensive, I believe they just should not view it	18
161	2987	All authors write for a purpose, whether it be to teach, entertain, or persuade an audience	0
162	2987	No author writes something and says, 'I hope no one picks this off of the shelf!' So, if every author wants to express something through their writing, then why should we not let them be heard	1
163	2987	We all have the freedom of speech, right	2
164	2987	So, why not the freedom of writing	3
165	2987	Libraries should not remove a book, music, movie, or magazine from the shelf just because they found it offensive	4
166	2987	Everyone will read a book that they don't like, its natural, but that doesn't mean that no one will like it	5
167	2987	Authors write for an audience, but maybe you are not in that audience	6
168	2987	so, it doesn't appeal to you and might even seem offensive	7
169	2987	Not everyone believes in the same ideas	8
170	2987	You could think about an issue one way and your neighbor think about it a totally different way	9
171	2987	Like for instance, you're reading a book about a young girl that is going through many problems in her life	10
172	2987	She has gotten into some really horrible situations	11
173	2987	Some of these situations you read about are so awful that you wouldn't want anyone else to read it	12
174	2987	But, did you ever think that maybe there's another girl that is or has gone through some of these same situations	13
175	2987	Maybe this girl comes to a library and finds this book	14
176	2987	suddenly she finds guidence in it	15
177	2987	She finds something she can depend on in her life that she's never had before	16
178	2987	She feels like she has a friend in this book that can handle the situations with her	17
179	2987	So, would you really want to take that book off of the shelf and not let that girl ever find her guidence	18
180	2987	Situations happen like this all of the time	19
181	2987	People find something special in what they read that other people might not find	20
182	2987	When a librarian takes a book off of that shelf, an opportunity is forever gone	21
183	2987	No one will ever be able to learn of what was to become of that writing and of those ideas	22
184	2987	We all have a right to learn, to explore new ideas, and to expand our minds	23
185	2987	No one should have the right to take that away	24
186	2988	Have you seen a magazine, book, movies, etc., that are found affensive	0
187	2988	What experiences did you have	1
188	2988	Here is my opinion on if I think that those books should be removed or not	2
189	2988	I have noticed that some movies are affensive to other people	3
190	2988	Like for an example, the @CAPS1 movies, books is about @CAPS2 and some people don't believe in them or they don't like the movie so I do kind of see no point of making a movie that is about someone that is not real	4
191	2988	However, some movies are okay for some people and their age	5
192	2988	The movies that are rated '@CAPS3' are for the people who shouldn't be watching it yet like kids under the age	6
193	2988	Magazines though do have some type of thing that I think that is affensive to other people	7
194	2988	Like, I don't remember the name of them but they would have sections that would talk bad about another person like one of the kids would talk about the president or something like that	8
195	2988	So I think some magazines should be removed off the shelves	9
196	2988	The books however, I don't see a reason why to have them removed off the shelves	10
197	2988	I don't think the books seem to be affensive as much as graphical	11
198	2988	There could be some books out there that might be affensive to people though, like the ones that talk about a family that has no money or talk bad about them	12
199	2988	For an example, you would be able to find a book and read it and find out that it is talking bout things that you don't want to know yet or want to know	13
200	2988	So as you can see I have made an opinion on what they should do either keep the books, magazines, or movies off the shelf	14
201	2988	But then I do see it the other way to	15
202	2988	Some of us do like those kind of movies or book or even magazines and think that is very cool or interesting	16
203	2989	Personally I don't think libraries, movie stores, etc., should be selling any of the items just mentioned	0
204	2989	If they are found offensive to the public	1
205	2989	I think it offends lots of people	2
206	2989	Citizens such as senior citizens and children shouldn't have to be exposed to inaproppriate material	3
207	2989	I think in order to buy or rent certain books, music, movies, or magazines you should have to be at least eight-teen years of age	4
208	2989	The economy is bad enough the way it is	5
209	2989	There is a new generation of people who are being raised at the moment, and they should't have to look back at their childhood and have memories of seeing offensive movies, or reading offensive books and magazines	6
210	2989	I think music is what influences a person the most	7
211	2989	If they are constantly listening to foul language and what not, that is going to just stay into a persons mind	8
212	2989	I know this from experience	9
213	2989	I also believe that movies influence a peron lot too	10
214	2989	For example, a kid goes to see a movie that has a lot of violence in it	11
215	2989	Well after he is done watching the movie he thinks to himself, 'well it must be okay to kill someone because i saw someone kill another person because they got away with it and never got into trouble.' That is just one example of how the humans mind can change	12
216	2989	In conclusion I do believe that humans have the right to read, watch, or listen to what they want	13
217	2989	I just think that people should have to be a certain age for some of the things though	14
218	2989	Also, I think that anything citizens find offending should be hidden in some sort of area in a store or library	15
219	2989	So that  just people who want a certain item or whatever can get it with out other people having to see or listen to anything offending	16
220	2990	A library is a place you can go to read, write, and relax	0
221	2990	Nowadays, many people take for granted the knowledge that can be obtained there	1
222	2990	Even more of the knowledge to be learned is being stripped away and cut down by censorship	2
223	2990	Censorship can eliminate many varieties of reading materials that people can learn from and enjoy	3
224	2990	First of all, removing classics from the shelves of libraries because they @MONTH1 offend certain people is completely unwarranted	4
225	2990	If they offend you then do not read them	5
226	2990	It is as simple as that	6
227	2990	Many books offend people because they are not in agreement with their morals or beliefs	7
228	2990	A great example of this is the @PERSON2 series	8
229	2990	@PERSON2 @PERSON2 is a bestselling series with over a million copies that have been sold worldwide	9
230	2990	however, it does not corrolate with many people's beliefs	10
231	2990	Therefore those people boycott the series	11
232	2990	I remember several years ago I attended a @PERSON2 @PERSON2 and the @CAPS1 @CAPS2 @CAPS3 party at the local library to celebrate the next book in the series being released	12
233	2990	While I was at the library there was a gigantic storm brewing	13
234	2990	Now most people would think that it was only a storm, but the people in town who did not like the @PERSON2 books blamed it on the party	14
235	2990	They said that we were worshipping the devil and @CAPS4 brought the storm to tell us that what we were doing was wrong	15
236	2990	I know many people do not like the @PERSON2 series because there is witchcraft and wizardry in it, but that does not mean that they should blame natural occurences on a book	16
237	2990	Even great novels like the @CAPS5 in the @CAPS6 should not be banned because of their content	17
238	2990	For a while, @CAPS5 in the @CAPS6 was reading material for school, but then the 'morality police' banned it because it was about a crazy person	18
239	2990	Books should not be required to meet everyone's personal standards	19
240	2990	Consequently, what Katherine Paterson states is true	20
241	2990	If we ban books because we do not agree with them or find them suitable, eventually there will not be any left to check out at the library	21
242	2990	Although there could be a way to compromise	22
243	2990	If the books with questionable content had a sticker on them telling the reader that, then it could benefit both sides	23
244	2990	In conclusion, eliminating books is not a good idea because of how beneficial they are to us all, especially children	24
245	2990	When I was young I would always want to be read to and when I continued to age I would always read	25
246	2990	While I was in middle school every day I would have a book with me to read	26
247	2990	Books allow the reader to travel to far off places or see what it would be like to walk in someone else's shoes	27
248	2990	Books are a gateway to another world	28
249	2990	Why take that magic away from children	29
250	2991	Yes and no, some materials such as books, music, movies, magazines, etc, should be voted upon the citizens to be removed from shelves	0
251	2991	I do think that some materials in those catagories should be removed if they are offensive to me as well as others, but it will take a long while to get them removed from stores and other places if other people like them	1
252	2991	I do not like how they make some music to be very violent and cause minds of most teenagers to turn bad and start selling drugs on the street of their hometown, but i can't do anything about that because that kind of music is admired by those teenagers as well as some adults too	2
253	2991	If some people can buckle down and see that stuff like that will mess up lives of teenagers and some adults who fall victim to it, then there is a chance that it can be stopped	3
254	2991	Stopping things like this will save a community from disaster and cause other good chances in life for people in need for those chances	4
255	2991	Here's another example, like this music artist named @CAPS1 @CAPS2	5
256	2991	She has made some great songs for the past year and a half now	6
257	2991	People have told me that she is part of a group called @CAPS3 and its a group where they try to I think 're-birth' thereselves	7
258	2991	My friends wanted me to stop listening to her music	8
259	2991	I told my friends that I do not like the fact that she joined this group, but that doesnt mean im gonna stop listen to her music	9
260	2991	Now if she makes a song that is offensive to me and as well as my friends, then that where I draw the line	10
261	2991	What im saying is that if people don't have others to back them up if something is highly offensive to them and oblivious to others, it will be very hard trying to prove yourself in the best way possible.	11
262	2993	Dear Newspaper,     @CAPS1 would you feel if someone wrote a book about @CAPS1 bad the newspapers are, and the tore you down so bad no one wanted to touch another newspaper	0
263	2993	Think about it if something is found offensive should it be avalible for thousdands and thousands of other people to read	1
264	2993	I believe that certain materials such as books, music,movies,ect	2
265	2993	that are found offensive should not be allowed to be removed from a libraries book shelves, let alone even be on the shelves	3
266	2993	Now lets just think about this for a moment.What if a sexist book fell into the hands of an inocent childs hands that could just read enough to get through the book	4
267	2993	That child could end up living that kind of life that the book protays	5
268	2993	If I were a parentt I know for a fact I would never want my children exposed to harmful reading materials until they know right from wrong, and have a clear judgement on it	6
269	2993	Or from another perspective what if that  one book, about @CAPS1 black people are bad and nasty, fell into the wrong hands for this purpose lets say a drunken, old fashioned man	7
270	2993	Who just so happens to think we should continue slavery	8
271	2993	That one book could stimulate this white mans thoughts and he could try to put his thoughts into action	9
272	2993	Throwing what that book says about black people in a young black womans face	10
273	2993	Then continues ,after seeing what that alone has done to her, rapes and beats her	11
274	2993	Only to let her live and make her his own whore or slave for aslong as shes living	12
275	2993	Can you imagan this world when @CAPS2 only knows @CAPS1 bad this woman is hurting	13
276	2993	@CAPS2 is the only one who know @CAPS1 long she will deal with the pain.Before she stops fighting for her life	14
277	2993	Just think all that I have told you about, gave you examples of all started with that one single book.The offensive book towards sexists and towards black people	15
278	2993	these are all reasons for those book to be ban from libraries or at least glued to the shelves.	16
279	2994	A lot of people that are in school have probably seen or heard of a book or magazine that had profanity or offended them	0
280	2994	Some people think that kind of thing is funny, but to others it @MONTH1 bother them	1
281	2994	Not only racial slurs can offend people, but profanity can make someone disappointed	2
282	2994	Some parents do not want their child to hearing or saying things like that	3
283	2994	And I believe if it is offensive it should be taken off the shelf in a library and you should too	4
284	2994	The movies and music I think if it really offended somebody that they should have to either change the lyrics or get rid of it	5
285	2994	They just should not offend somebody to be a good song or a really great movie	6
286	2994	You can't not make something that is making fun of another race or a movie of killing them	7
287	2994	Going to like school libraries, for books I think it really depends on the age group	8
288	2994	Like their should not be anything that would be offensive or profanity in the @CAPS1 or @CAPS2 @CAPS4	9
289	2994	They are just not old enough or mature to be seeing or reading those things in books or magazines	10
290	2994	So if a student comes home with a book the class is reading and the parent doesn't like the content they should have the right to say that they don't want their child reading it	11
291	2994	And if was really bad be able to take it out of the school	12
292	2994	Even @CAPS3 @CAPS4 that have more mature students get offended sometimes from the books their reading in school	13
293	2994	One in example is 'To @CAPS5 a @CAPS6'	14
294	2994	Even though it is a really good book and a lot of @CAPS4 read it	15
295	2994	A lot of @CAPS7 @CAPS8 might get offended by all the racial slurs about @CAPS7 @CAPS8	16
296	2994	They just do not feel comfortable fellow students saying them and their teachers saying them	17
297	2994	And the @CAPS4 or libraries just should not make students read books that they don't feel comfortable reading	18
298	2994	Or the libraries having books like that	19
299	2994	Me in example, next year I'm going to have to read that book and I am just not going to like it	20
300	2994	I'm half @CAPS7 @CAPS12 and I do not like people saying things like that	21
301	2994	It is going to be a really akward moment for me	22
302	2994	And I have some other friends that have read that book that didn't feel comfortable reading that book	23
303	2994	Their are even little kid books that parents want out of their childs school library	24
304	2994	The most challenged book in school libraries is @CAPS13 @CAPS14	25
305	2994	I know this because my librarian told me this one day	26
306	2994	It is just a good book, but some parents don't want their kids reading about witchcraft and wizards	27
307	2994	So they try to get them out of the library	28
308	2994	And they should if the parents do't want their kids reading it	29
309	2994	I just think if their is a certain amount of people complaining about a movie or song that their should not even be a fight about it	30
310	2994	They should just get rid of it	31
311	2994	Same thing in a school, if their is students or parents that are complaining and their is a certain amount of them, the librarian should not even have a say in it or the school	32
312	2994	They should just get rid of the book or magazine	33
313	2994	I believe that if it a book, song, movie , etc is offensive to a certain amount of people that it should just be taken care of by getting rid of it	34
314	2994	Parents might not want their kids seeing, hearing, or reading that sort of stuff	35
315	2994	And some people get offended by some books or movies	36
316	2994	Or they just do't feel comfortable	37
317	2994	I believe that things that are brought to the world for entertainment should also be able to get out of the world if people are offended by it.	38
318	2995	Do you think that if certain books, music, movies, and magazines shout be removed from shelves because someone finds them offensive	0
319	2995	Such as magazines, books, movies, and even music	1
320	2995	I simply do not find any of it right that few peoples opinion's should matter depending on what they find offensive for two reasons	2
321	2995	Those reasons being that you picked it out yourself and that you have traveled to the library looking for something you will enjoy	3
322	2995	The first reason I think that certain books, music, movies and magazines should not be removed form the shelves are because people have picked them out there selves	4
323	2995	Noone is ever going to pick up a book or magazine or even watch movies and listen to music that looks, seems, or even sounds offensive	5
324	2995	Mainly because alot of people don't take being ofeneded to kindly	6
325	2995	For example, why would a person buy an object that does not seem appealing to them	7
326	2995	The second reason that I think that certain books, music, movies, and magazines should not be removed from shelves are because if your going to the library your looking for an interesting book, type of music, a movie, or a magazine	8
327	2995	Most likely you're going to end up getting one that looks intersting to you and something that you feel fits your taste	9
328	2995	So if there is a book, some sort of music, a movie, or a magazine and it looks offensive then don't get it because if somethings going to offend you its going to be pretty obvious due to what it looks like, seems like, or even sounds like	10
329	2995	In my opinion I think that if certain books, music, movies, and magazines are offensive to some people that they should not be taken off the shelf	11
330	2995	If you picked something out at the library or went to the library looking for something that you would enjoy, you will obviously end up knowing if something looks, seems, or even sounds offensive	12
331	2997	I think that all the bad books should be taken out of a library	0
332	2997	All the bad books, music, magazines and movies no one really wants to read	1
333	2997	If a kid picks up the book and reads it, and there are bad content in the books, magazines, music and movies that would be bad to read	2
334	2997	If they are young enough and they don't know if the movies or anything else in the library are bad, then it's the library's fault for letting them get the book movies, music or magazines	3
335	2997	If the parent doesn't know that their kid read the book their parents will be wondering where they got bad phrases from	4
336	2997	There are people that think that any libraries should have any bad books	5
337	2997	There are many things in books that parents don't want their children to read	6
338	2997	There are things like books that talk about sex	7
339	2997	There can also be language that the kids should not read	8
340	2997	I know for sure, that I don't want my kids to read anything bad when they grow older	9
341	2997	There are also music that parents don't want kids to listen to	10
342	2997	There is things like sex songs	11
343	2997	There are also things that don't say sex directly, but imply it	12
344	2997	I never want my kids to listen to bad songs like that, I want them to be responsible and not listen to terrible songs	13
345	2997	There is also movies that I don't want my kids to watch, because of the content of the movie	14
346	2997	There are so many things in this world that contain bad things, which all have something to do with sex	15
347	2997	Latly all the movies that came out are very inapropriate	16
348	2997	Their is one more thing that I think is very important, which is magazines	17
349	2997	There are many things that can happen in magazines like porn	18
350	2997	I hate when kids are tempted or forced to look at porn	19
351	2997	I think in general we should get rid of porn, and descusting pictures in magazines.	20
352	2999	I think that books, magazines, papers etc shouldn't be removed from the librarys because some @CAPS1 like to @CAPS2 them	0
353	2999	Some @CAPS1 feel that reading a book about there problem will help them get through what ever problem they are having	1
354	2999	@CAPS1 often say that they are stressed and depressed	2
355	2999	Those @CAPS1 can get the books and @CAPS2 them to help them solve there problems	3
356	2999	If the books etc are offensive then, the @CAPS1 who think they are shouldn't get them	4
357	2999	The can't control what books are in the library	5
358	2999	Some @CAPS1 have problems and some of the books can help them	6
359	2999	Alot of @CAPS1 I know dont think that alot of books are offensive	7
360	2999	Its eather they want to @CAPS2 them or they dont	8
361	2999	If @CAPS1 think that books etc are offensive they will just have to deal with it	9
362	2999	@CAPS1 like to @CAPS2 all kinds of books and some dont even like to @CAPS2	10
363	2999	For the @CAPS1 who like to @CAPS2 they can pick whatever book they want that they feel confortable with	11
364	2999	If they think that a book is offensive they go past it and find a different book to @CAPS2	12
365	2999	I suppose if you find a offensive book you could go to the teacher or someone and talk about it	13
366	2999	Im sure that they wont do anything about it	14
367	2999	The books and other things are there for a reason, 'For @CAPS1 To @CAPS2', and to understand what there life is and how to fix it	15
368	2999	You have to control under the books	16
369	2999	You can't tell them what books should be one the shelf and what cant be on the shelf	17
370	2999	In conclusion I think that @CAPS1 should deal with it because they cant control it	18
371	3000	Hello, my name is @CAPS1, I feel that there should be any genre of media in libraries	0
372	3000	If they call it a 'media center,' then why censor any media	1
373	3000	People know to read the back of a book to see if they want it, so if they see something they don't like they are able to put it back on the shelf	2
374	3000	People say The @CAPS2 and the @CAPS3 inspired @CAPS4 @PERSON2 to kill @PERSON1, that is completly speculated it's all a matter of 'he said she said.'  I feel there should be sections for different sections for different age groups, but to censor literature is just un-@CAPS5	3
375	3000	There should be a parent supervising children @NUM1 and younger, because where it really comes to are the children and them not being exposed to something there not ready for	4
376	3000	There are some magazines and movies I feel shouldn't be in librarys, and those are as follows: pornography, non-educational movies, @CAPS6 @CAPS7, and social networks	5
377	3000	I'm not saying to let kids listen to murderous music and jump off of the terrace but, shouldn't some leeway on books	6
378	3000	This is an approved message thank you for your time, goodbye.	7
379	3001	Books Removed From Shelves	0
380	3001	'All of us can think of a book that we hope none of our children or any other children have taken off the chelf	1
381	3001	But if I have the right to remove that book from the shelf- that I work I abhor- then you also have exactly the same right and so does everyone else	2
382	3001	And then we have no nooks left on the shelf for any of us.' @CAPS1 statement was from @PERSON1	3
383	3001	Do you think it is right for young children to look at immages that are not appropiate or read something that is talking baout sexual content	4
384	3001	I do not think any of these materials should be removed from the shelves, but they should be put in a privite area where only adults can get to them	5
385	3001	I think they should be put in a certain area, away from children, because children will get ideas from the material that they see and think it is okay to act like that	6
386	3001	There are some books and movies out there that teenagers and young children see that are about cereal killers and children think it is okay to bring guns to school and it is not okay	7
387	3001	Children are reading these books and thinking it is okay to act like their favorite character or acting like their favorite movie star in a movie	8
388	3001	Some of the movies that are out there are about doing stupid stuff, and children and teenagers think it is 'cool' because the person that they look up to is doing that, so they want to try it out also	9
389	3001	Children get hurt from doing @CAPS1	10
390	3001	Whenever a child sees people having sex, they think it is okay to do it too, becasue those kids in the movies are the same age as they are	11
391	3001	I think that movie producers shoudl be aware of what they put out there for children to watch	12
392	3001	When you talk about the book @CAPS2 @CAPS3, you think what a great book	13
393	3001	But would you ever think that it would be taken off of shelves because of one word that was used in it	14
394	3001	I think that it should stay on the shelves, but if a parent does not want their child to read it, then they do not have to read it	15
395	3001	If parents do not want their child to read something then just tell the teacher or child that they cannot read the book	16
